name,n,m,k,optimal,charikar-2,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
b01,50,126,8,82,86,85,84,82,86
b02,50,126,12,83,97,83,84,97,89
b03,50,126,24,138,155,141,155,177,152
b04,50,200,8,59,72,63,63,77,64
b05,50,200,12,61,68,61,68,65,68
b06,50,200,24,122,141,126,138,148,140
b07,75,188,12,111,112,113,115,123,112
b08,75,188,18,104,119,110,111,118,117
b09,75,188,37,220,230,232,226,234,236
b10,75,300,12,86,100,105,92,134,94
b11,75,300,18,88,112,93,121,127,99
b12,75,300,37,174,220,183,202,249,216
b13,100,250,16,165,174,175,176,192,176
b14,100,250,24,235,254,254,255,277,261
b15,100,250,49,318,344,333,339,353,342
b16,100,400,16,127,163,146,141,166,136
b17,100,400,24,131,139,154,145,152,132
b18,100,400,49,218,263,252,266,293,254
