name,n,m,k,optimal,charikar-2,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
b01,50,126,8,82,1.049,1.037,1.024,1.000,1.049
b02,50,126,12,83,1.169,1.000,1.012,1.169,1.072
b03,50,126,24,138,1.123,1.022,1.123,1.283,1.101
b04,50,200,8,59,1.220,1.068,1.068,1.305,1.085
b05,50,200,12,61,1.115,1.000,1.115,1.066,1.115
b06,50,200,24,122,1.156,1.033,1.131,1.213,1.148
b07,75,188,12,111,1.009,1.018,1.036,1.108,1.009
b08,75,188,18,104,1.144,1.058,1.067,1.135,1.125
b09,75,188,37,220,1.045,1.055,1.027,1.064,1.073
b10,75,300,12,86,1.163,1.221,1.070,1.558,1.093
b11,75,300,18,88,1.273,1.057,1.375,1.443,1.125
b12,75,300,37,174,1.264,1.052,1.161,1.431,1.241
b13,100,250,16,165,1.055,1.061,1.067,1.164,1.067
b14,100,250,24,235,1.081,1.081,1.085,1.179,1.111
b15,100,250,49,318,1.082,1.047,1.066,1.110,1.075
b16,100,400,16,127,1.283,1.150,1.110,1.307,1.071
b17,100,400,24,131,1.061,1.176,1.107,1.160,1.008
b18,100,400,49,218,1.206,1.156,1.220,1.344,1.165
