name,n,m,k,optimal,charikar-2,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
b01,50,126,8,82,1s 510.391757ms,0s 4.968102ms,0s 68.599872ms,0s 1.008348ms,0s 15.955623ms
b02,50,126,12,83,3s 668.330278ms,0s 2.644714ms,0s 61.90744ms,0s 0.42637ms,0s 7.541209ms
b03,50,126,24,138,33s 412.557169ms,0s 7.791275ms,0s 71.135142ms,0s 0.287996ms,0s 21.920079ms
b04,50,200,8,59,1s 410.583362ms,0s 2.594184ms,0s 57.736274ms,0s 2.20839ms,0s 18.764369ms
b05,50,200,12,61,4s 816.219873ms,0s 2.363793ms,0s 72.875958ms,0s 0.339202ms,0s 25.808537ms
b06,50,200,24,122,49s 185.450942ms,0s 11.749311ms,0s 93.169727ms,0s 0.62073ms,0s 20.6453ms
b07,75,188,12,111,8s 30.379431ms,0s 3.374133ms,0s 94.616381ms,0s 0.313556ms,0s 7.095073ms
b08,75,188,18,104,32s 794.15305ms,0s 4.350594ms,0s 129.522799ms,0s 0.314778ms,0s 19.140666ms
b09,75,188,37,220,608s 524.358497ms,0s 26.112927ms,0s 177.365792ms,0s 0.453717ms,0s 28.583348ms
b10,75,300,12,86,8s 107.080552ms,0s 3.653525ms,0s 105.631034ms,0s 0.358697ms,0s 15.718543ms
b11,75,300,18,88,20s 675.683758ms,0s 4.41679ms,0s 139.908523ms,0s 0.399178ms,0s 20.631784ms
b12,75,300,37,174,378s 931.265172ms,0s 22.083505ms,0s 148.072072ms,0s 0.406706ms,0s 29.306343ms
b13,100,250,16,165,36s 980.458631ms,0s 6.511535ms,0s 200.093217ms,0s 2.303172ms,0s 19.133625ms
b14,100,250,24,235,92s 751.785846ms,0s 24.946534ms,0s 217.051534ms,0s 0.481351ms,0s 23.612915ms
b15,100,250,49,318,2817s 955.471473ms,0s 25.381853ms,0s 292.958502ms,0s 2.2603ms,0s 53.72093ms
b16,100,400,16,127,43s 578.631306ms,0s 19.517004ms,0s 211.664541ms,0s 0.513547ms,0s 24.949653ms
b17,100,400,24,131,100s 882.448524ms,0s 27.703135ms,0s 290.339528ms,0s 0.581649ms,0s 30.245271ms
b18,100,400,49,218,2362s 650.461952ms,0s 41.707026ms,0s 383.44172ms,0s 0.579546ms,0s 41.434178ms
