name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
c01,500,1250,4,85,85,96,102,96
c02,500,1250,9,144,151,161,232,165
c03,500,1250,82,754,775,824,938,876
c04,500,1250,124,1079,1116,1170,1261,1215
c05,500,1250,249,1579,1614,1683,1842,1729
c06,500,2000,4,55,55,61,76,58
c07,500,2000,9,102,110,113,118,105
c08,500,2000,82,509,551,587,657,570
c09,500,2000,124,707,779,795,967,837
c10,500,2000,249,1093,1194,1258,1498,1276
c11,500,5000,4,32,35,37,40,34
c12,500,5000,9,46,65,48,52,48
c13,500,5000,82,258,348,317,422,325
c14,500,5000,124,323,475,391,507,408
c15,500,5000,249,556,745,678,824,668
c16,500,25000,4,11,18,12,13,13
c17,500,25000,9,18,32,23,27,21
c18,500,25000,82,113,234,133,183,138
c19,500,25000,124,146,322,184,241,184
c20,500,25000,249,267,482,322,436,320
