name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
c01,500,1250,4,85,1.000,1.129,1.200,1.129
c02,500,1250,9,144,1.049,1.118,1.611,1.146
c03,500,1250,82,754,1.028,1.093,1.244,1.162
c04,500,1250,124,1079,1.034,1.084,1.169,1.126
c05,500,1250,249,1579,1.022,1.066,1.167,1.095
c06,500,2000,4,55,1.000,1.109,1.382,1.055
c07,500,2000,9,102,1.078,1.108,1.157,1.029
c08,500,2000,82,509,1.083,1.153,1.291,1.120
c09,500,2000,124,707,1.102,1.124,1.368,1.184
c10,500,2000,249,1093,1.092,1.151,1.371,1.167
c11,500,5000,4,32,1.094,1.156,1.250,1.063
c12,500,5000,9,46,1.413,1.043,1.130,1.043
c13,500,5000,82,258,1.349,1.229,1.636,1.260
c14,500,5000,124,323,1.471,1.211,1.570,1.263
c15,500,5000,249,556,1.340,1.219,1.482,1.201
c16,500,25000,4,11,1.636,1.091,1.182,1.182
c17,500,25000,9,18,1.778,1.278,1.500,1.167
c18,500,25000,82,113,2.071,1.177,1.619,1.221
c19,500,25000,124,146,2.205,1.260,1.651,1.260
c20,500,25000,249,267,1.805,1.206,1.633,1.199
