name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
c01,500,1250,4,85,0s 44.997107ms,12s 220.029789ms,0s 6.855857ms,0s 53.73497ms
c02,500,1250,9,144,0s 42.047017ms,16s 707.585382ms,0s 1.988512ms,0s 51.35159ms
c03,500,1250,82,754,0s 305.35251ms,30s 861.354667ms,0s 2.98569ms,0s 254.491387ms
c04,500,1250,124,1079,0s 464.528471ms,35s 769.510889ms,0s 3.332684ms,0s 364.420708ms
c05,500,1250,249,1579,1s 6.430277ms,48s 17.844483ms,0s 3.843559ms,1s 345.967505ms
c06,500,2000,4,55,0s 21.905381ms,15s 255.832019ms,0s 2.158911ms,0s 31.330148ms
c07,500,2000,9,102,0s 38.657337ms,29s 120.345155ms,0s 3.040804ms,0s 47.825037ms
c08,500,2000,82,509,0s 227.111474ms,35s 169.594962ms,0s 2.143576ms,0s 273.194333ms
c09,500,2000,124,707,0s 433.882883ms,52s 47.405837ms,0s 4.104312ms,0s 459.815902ms
c10,500,2000,249,1093,0s 957.842335ms,76s 823.19251ms,0s 4.083169ms,1s 309.916757ms
c11,500,5000,4,32,0s 40.614841ms,15s 461.043273ms,0s 7.515666ms,0s 28.128227ms
c12,500,5000,9,46,0s 43.441208ms,19s 935.032262ms,0s 4.464443ms,0s 53.762514ms
c13,500,5000,82,258,0s 317.780905ms,43s 703.922328ms,0s 4.586715ms,0s 318.504712ms
c14,500,5000,124,323,0s 468.447805ms,96s 420.288295ms,0s 5.269253ms,0s 433.082218ms
c15,500,5000,249,556,1s 106.336366ms,135s 231.389833ms,0s 6.946998ms,1s 336.599154ms
c16,500,25000,4,11,0s 60.370026ms,18s 332.564941ms,0s 18.775048ms,0s 61.244953ms
c17,500,25000,9,18,0s 150.459279ms,19s 447.584559ms,0s 14.30431ms,0s 101.291833ms
c18,500,25000,82,113,1s 400.134874ms,97s 298.008565ms,0s 13.766452ms,0s 585.441058ms
c19,500,25000,124,146,2s 76.885889ms,89s 943.153783ms,0s 14.058339ms,0s 925.825911ms
c20,500,25000,249,267,3s 955.990379ms,99s 92.537949ms,0s 11.664377ms,2s 28.42829ms
