name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
d01,1000,2500,4,106,110,112,110,114
d02,1000,2500,9,220,237,241,310,262
d03,1000,2500,166,1565,1629,1657,1909,1802
d04,1000,2500,249,1935,2012,2043,2252,2135
d05,1000,2500,499,3250,3327,3418,3691,3553
d06,1000,4000,4,67,76,70,88,70
d07,1000,4000,9,103,112,103,124,105
d08,1000,4000,166,1072,1171,1208,1448,1228
d09,1000,4000,249,1448,1606,1653,1994,1778
d10,1000,4000,499,2110,2271,2376,2764,2501
d11,1000,10000,4,29,32,31,30,31
d12,1000,10000,9,42,55,44,45,44
d13,1000,10000,166,500,673,589,723,619
d14,1000,10000,249,667,915,824,1026,806
d15,1000,10000,499,1116,1495,1319,1648,1320
d16,1000,50000,4,13,28,13,16,14
d17,1000,50000,9,23,42,30,29,27
d18,1000,50000,166,223,474,294,345,274
d19,1000,50000,249,310,686,398,494,384
d20,1000,50000,499,537,1071,645,892,662
