name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
d01,1000,2500,4,106,1.038,1.057,1.038,1.075
d02,1000,2500,9,220,1.077,1.095,1.409,1.191
d03,1000,2500,166,1565,1.041,1.059,1.220,1.151
d04,1000,2500,249,1935,1.040,1.056,1.164,1.103
d05,1000,2500,499,3250,1.024,1.052,1.136,1.093
d06,1000,4000,4,67,1.134,1.045,1.313,1.045
d07,1000,4000,9,103,1.087,1.000,1.204,1.019
d08,1000,4000,166,1072,1.092,1.127,1.351,1.146
d09,1000,4000,249,1448,1.109,1.142,1.377,1.228
d10,1000,4000,499,2110,1.076,1.126,1.310,1.185
d11,1000,10000,4,29,1.103,1.069,1.034,1.069
d12,1000,10000,9,42,1.310,1.048,1.071,1.048
d13,1000,10000,166,500,1.346,1.178,1.446,1.238
d14,1000,10000,249,667,1.372,1.235,1.538,1.208
d15,1000,10000,499,1116,1.340,1.182,1.477,1.183
d16,1000,50000,4,13,2.154,1.000,1.231,1.077
d17,1000,50000,9,23,1.826,1.304,1.261,1.174
d18,1000,50000,166,223,2.126,1.318,1.547,1.229
d19,1000,50000,249,310,2.213,1.284,1.594,1.239
d20,1000,50000,499,537,1.994,1.201,1.661,1.233
