name,n,m,k,optimal,greedy-flac,shortest-path-greedy-flac,shortest-paths,roos
d01,1000,2500,4,106,0s 101.194417ms,102s 59.487495ms,0s 12.204936ms,0s 49.541511ms
d02,1000,2500,9,220,0s 154.258026ms,126s 257.730981ms,0s 7.63001ms,0s 83.406257ms
d03,1000,2500,166,1565,1s 644.01555ms,441s 156.61939ms,0s 7.106793ms,1s 656.405389ms
d04,1000,2500,249,1935,3s 44.901295ms,647s 733.517884ms,0s 5.715163ms,3s 211.328534ms
d05,1000,2500,499,3250,7s 454.114228ms,673s 979.095688ms,0s 5.397535ms,15s 208.701535ms
d06,1000,4000,4,67,0s 49.712086ms,119s 775.145216ms,0s 8.17125ms,0s 44.895486ms
d07,1000,4000,9,103,0s 85.741509ms,240s 350.062952ms,0s 5.851904ms,0s 69.465486ms
d08,1000,4000,166,1072,1s 828.812208ms,532s 796.835891ms,0s 12.841688ms,1s 528.642958ms
d09,1000,4000,249,1448,2s 942.882776ms,625s 412.048478ms,0s 5.279588ms,2s 968.612694ms
d10,1000,4000,499,2110,6s 196.595285ms,814s 989.963753ms,0s 4.920893ms,12s 89.732396ms
d11,1000,10000,4,29,0s 38.589407ms,168s 771.000944ms,0s 9.542217ms,0s 54.371322ms
d12,1000,10000,9,42,0s 103.975642ms,235s 975.898748ms,0s 11.103698ms,0s 85.140321ms
d13,1000,10000,166,500,2s 34.919515ms,1069s 391.264708ms,0s 9.227346ms,1s 657.814567ms
d14,1000,10000,249,667,2s 512.378173ms,606s 479.632385ms,0s 7.242705ms,2s 717.019283ms
d15,1000,10000,499,1116,6s 194.782802ms,1064s 348.155358ms,0s 5.411828ms,10s 467.760091ms
d16,1000,50000,4,13,0s 181.734515ms,119s 388.183541ms,0s 24.514814ms,0s 106.277719ms
d17,1000,50000,9,23,0s 335.464441ms,261s 127.757075ms,0s 34.206082ms,0s 195.821413ms
d18,1000,50000,166,223,6s 274.277149ms,623s 568.040566ms,0s 23.396627ms,2s 732.717004ms
d19,1000,50000,249,310,10s 644.053228ms,1109s 832.657688ms,0s 21.230644ms,4s 918.276829ms
d20,1000,50000,499,537,19s 176.470109ms,910s 307.561085ms,0s 18.873773ms,12s 607.521546ms
